-2, 0, 2, 4
2018/11/02/12:08:06.361, 10000, 10000,
2018/11/02/12:08:11.430, 882, -404,
2018/11/02/12:08:13.030, 725, -452,
2018/11/02/12:08:14.713, 526, -499,
2018/11/02/12:08:16.479, 283, -536,
2018/11/02/12:08:18.312, 11, -550,
2018/11/02/12:08:19.779, 8, -452,
2018/11/02/12:08:21.495, 228, -444,
2018/11/02/12:08:23.178, 432, -423,
2018/11/02/12:08:24.812, 609, -393,
2018/11/02/12:08:26.395, 758, -360,
2018/11/02/12:08:27.861, 661, -322,
2018/11/02/12:08:29.411, 523, -344,
2018/11/02/12:08:31.011, 365, -364,
2018/11/02/12:08:32.644, 191, -378,
2018/11/02/12:08:34.294, 7, -382,
2018/11/02/12:08:35.645, 6, -331,
2018/11/02/12:08:37.244, 164, -328,
2018/11/02/12:08:38.827, 316, -319,
2018/11/02/12:08:40.394, 457, -305,
2018/11/02/12:08:41.927, 584, -289,
2018/11/02/12:08:43.310, 521, -262,
2018/11/02/12:08:44.826, 405, -273,
2018/11/02/12:08:46.360, 278, -283,
2018/11/02/12:08:47.910, 144, -289,
2018/11/02/12:08:49.459, 5, -291,
