Alarm Level :,1000,,,,
Storage cycle [sec] :,0.5,,,,
Average :,ON,,,,
Unit :,ppm-m,,,,
Distance [m] :,,,,,
,,,,,
No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/10/16 16:06:35.300,139,1,1,No data
2,2018/10/16 16:06:35.700,140,3,1,No data
3,2018/10/16 16:06:36.300,138,1,1,No data
4,2018/10/16 16:06:36.700,143,1,1,No data
5,2018/10/16 16:06:37.200,147,1,1,No data
6,2018/10/16 16:06:37.700,162,0,1,No data
7,2018/10/16 16:06:38.300,194,4,1,No data
8,2018/10/16 16:06:38.700,185,3,1,No data
9,2018/10/16 16:06:39.300,175,4,1,No data
10,2018/10/16 16:06:39.800,183,0,1,No data
11,2018/10/16 16:06:40.300,186,4,1,No data
12,2018/10/16 16:06:40.700,189,0,1,No data
13,2018/10/16 16:06:41.200,205,3,1,No data
14,2018/10/16 16:06:41.700,700,2,1,No data
15,2018/10/16 16:06:42.200,722,7,1,No data
16,2018/10/16 16:06:42.700,723,1,1,No data
17,2018/10/16 16:06:43.200,731,0,1,No data
18,2018/10/16 16:06:43.800,661,3,1,No data
19,2018/10/16 16:06:44.200,115,4,1,No data
20,2018/10/16 16:06:44.900,915,2,1,No data
21,2018/10/16 16:06:45.300,89,15,1,No data
22,2018/10/16 16:06:45.800,409,9,1,No data
23,2018/10/16 16:06:46.400,296,0,1,No data
24,2018/10/16 16:06:46.900,207,3,1,No data
25,2018/10/16 16:06:47.300,88,1,1,No data
26,2018/10/16 16:06:47.800,271,1,1,No data
27,2018/10/16 16:06:48.400,570,1,1,No data
28,2018/10/16 16:06:48.800,791,1,1,No data
29,2018/10/16 16:06:49.400,461,7,1,No data
30,2018/10/16 16:06:50.000,611,8,1,No data
31,2018/10/16 16:06:50.500,717,1,1,No data
32,2018/10/16 16:06:50.800,377,2,1,No data
33,2018/10/16 16:06:51.300,421,2,1,No data
34,2018/10/16 16:06:51.900,607,2,1,No data
35,2018/10/16 16:06:52.300,631,5,1,No data
36,2018/10/16 16:06:52.800,392,2,1,No data
37,2018/10/16 16:06:53.300,662,2,1,No data
38,2018/10/16 16:06:53.800,661,2,1,No data
39,2018/10/16 16:06:54.300,705,1,1,No data
40,2018/10/16 16:06:55.000,653,1,1,No data
41,2018/10/16 16:06:55.400,740,2,1,No data
42,2018/10/16 16:06:55.800,621,0,1,No data
43,2018/10/16 16:06:56.300,708,2,1,No data
44,2018/10/16 16:06:56.800,559,0,1,No data
45,2018/10/16 16:06:57.300,397,4,1,No data
46,2018/10/16 16:06:58.000,677,3,1,No data
47,2018/10/16 16:06:58.300,723,7,1,No data
48,2018/10/16 16:06:58.900,710,5,1,No data
